dataset_id;provider_id;x;y;coverage_id;dataset_name;licence;description;data_source_file;data_source_site;geo
004256a7-96e2-4c1c-aee5-074288446290;OM9;5.4497;43.5283;fr-se;Aix-Marseille - Libebus;;Aix-Marseille - Libebus (open);http://tsvc.pilote4.cityway.fr/api/Export/v1/GetExportedDataFile?ExportFormat=Gtfs&OperatorCode=LIBEBUS;https://www.lepilote.com/fr/part6/le-reseau/80;43.5283,5.4497
01e0f8d4-2859-4c56-afea-072b67a8147b;OEB;-122.320073;44.1732625;us-or;us-or_eugenebend;;Oregon - Eugene Bend;http://transitfeeds.com/p/tac-transportation/464/latest/download;http://oregon-gtfs.com/;44.1732625,-122.320073
0213f219-b874-4bef-95d6-7dbdc48b6bcd;ODX;-1.051854;43.708754;fr-sw;Dax - Couralin;;Dax - Couralin (open);https://www.pigma.org/public/opendata/nouvelle_aquitaine_mobilites/publication/ca_grand_dax-aggregated-gtfs.zip;https://www.trans-landes.fr/couralin/;43.708754,-1.051854
03a3611b-2062-4970-9a7e-a5cda8399578;OPLKR0;19.9449799;50.0646501;pl;Krakow_MPK_GTFS;;MPK S.A. w Krakowie;http://gtfs.ztp.krakow.pl/GTFS_KRK_A.zip;;50.0646501,19.9449799
044b8517-073d-4a18-bbf6-ac4186d78cdc;CFE;;;fr-se;Corsica ferries;;Corsica ferries;;https://www.corsica-ferries.fr/;
05e4574f-8a1c-46ed-9850-0c7ecd3e8baf;OAK;4.8333;46.3;fr-ne;Mâcon - Tréma;;Mâcon - Tréma (open);https://www.data.gouv.fr/fr/datasets/r/3c34df58-72be-4856-a205-37ed3e1bcd51;https://www.trema-bus.fr/;46.3,4.8333
096fae20-2bc0-4176-bee5-1434c62a4f23;MF2;-71.5337805;41.276516;us-ma;us-ma_blockisland;;Massachusetts - Block Island;https://transitfeeds.com/p/massdot/644/latest/download;https://www.massdot.state.ma.us/DevelopersData.aspx;41.276516,-71.5337805
09948abf-9f35-403f-93e6-31e1ce5fdde6;ORX;4.96984559600865;45.7455437739949;fr-se;Lyon - Rhônexpress;;Lyon - Rhônexpress (open);https://download.data.grandlyon.com/files/rdata/rx_rhonexpress.rxtheorique/GTFS_RX.ZIP;https://data.grandlyon.com/;45.7455437739949,4.96984559600865
0ab675d5-ebad-4a4e-be1d-e9d0872ae622;W16;0.156194;45.648926;fr-sw;Charente - Réseau interurbain 16;;Charente - Réseau interurbain 16 (open);https://www.pigma.org/public/opendata/nouvelle_aquitaine_mobilites/publication/charente-aggregated-gtfs.zip;https://transports.nouvelle-aquitaine.fr/cars-regionaux/reseau-et-horaires/charente;45.648926,0.156194
0c910fc9-5f24-487e-a787-993831c57283;OES;-118.691072750241;37.0881251596419;us-ca;us-ca_easternsierra;;California - Eastern Sierra;http://data.trilliumtransit.com/gtfs/easternsierra-ca-us/easternsierra-ca-us.zip;http://data.trilliumtransit.com/gtfs/easternsierra-ca-us/;37.0881251596419,-118.691072750241
0dceef16-87ad-49fb-a63f-5ae898e627df;ESM;-4.421265;36.721261;es;es_malaga_gtfs;;Spain - Malaga;;;36.721261,-4.421265
0f3ee1d1-fd0e-401f-bea7-b6f2761aac0b;OEA;-8.17330410751449;53.2516240193159;ie;ie_buseireann;;Ireland - Buseireann;https://www.transportforireland.ie/transitData/google_transit_buseireann.zip;http://www.transportforireland.ie/transitData/PT_Data.html;53.2516240193159,-8.17330410751449
0f4fc909-b7ec-4625-ae7f-42606106cdfc;OAS;-73.4429849984469;45.7865035679823;ca-qc;ca-qc_mrc_assomption;;Canada - L'Assomption;https://exo.quebec/xdata/mrclasso/google_transit.zip;https://exo.quebec/fr/a-propos/donnees-ouvertes;45.7865035679823,-73.4429849984469
123e6456-b88c-4fc2-951c-fa7507ae5958;SUN;6.19333;48.67399;fr-ne;Nancy - SUB;;Nancy - SUB (open);https://exs.grandest2.cityway.fr/GTFS.aspx?Key=OPENDATA&OperatorCode=LESUB;https://www.reseausub.fr/;48.67399,6.19333
